Date,Equipment_ID,Operating_Hours
2024-10-16,EQ001,5.3
2024-10-17,EQ001,9.9
2024-10-18,EQ001,7.5
2024-10-19,EQ001,6.8
2024-10-20,EQ001,5.3
2024-10-21,EQ001,6.9
2024-10-22,EQ001,9.7
2024-10-23,EQ001,11.1
2024-10-24,EQ001,9.6
2024-10-25,EQ001,12.1
2024-10-26,EQ001,15.6
2024-10-27,EQ001,7.0
2024-10-28,EQ001,7.4
2024-10-29,EQ001,3.7
2024-10-30,EQ001,11.6
2024-10-31,EQ001,11.9
2024-11-01,EQ001,5.4
2024-11-02,EQ001,0.0
2024-11-03,EQ001,9.9
2024-11-04,EQ001,0.0
2024-11-05,EQ001,11.7
2024-11-06,EQ001,8.7
2024-11-07,EQ001,10.5
2024-11-08,EQ001,8.5
2024-11-09,EQ001,4.3
2024-11-10,EQ001,11.1
2024-11-11,EQ001,12.0
2024-11-12,EQ001,10.2
2024-11-13,EQ001,5.1
2024-11-14,EQ001,5.7
2024-11-15,EQ001,4.6
2024-11-16,EQ001,10.3
2024-11-17,EQ001,11.8
2024-11-18,EQ001,9.3
2024-11-19,EQ001,10.8
2024-11-20,EQ001,5.4
2024-11-21,EQ001,8.4
2024-11-22,EQ001,3.9
2024-11-23,EQ001,5.7
2024-11-24,EQ001,10.6
2024-11-25,EQ001,7.3
2024-11-26,EQ001,11.6
2024-11-27,EQ001,9.6
2024-11-28,EQ001,16.2
2024-11-29,EQ001,8.3
2024-11-30,EQ001,3.8
2024-12-01,EQ001,7.9
2024-12-02,EQ001,5.1
2024-12-03,EQ001,10.9
2024-12-04,EQ001,8.1
2024-12-05,EQ001,7.6
2024-12-06,EQ001,7.6
2024-12-07,EQ001,10.2
2024-12-08,EQ001,6.6
2024-12-09,EQ001,10.3
2024-12-10,EQ001,11.1
2024-12-11,EQ001,7.0
2024-12-12,EQ001,5.2
2024-12-13,EQ001,6.5
2024-12-14,EQ001,10.1
2024-12-15,EQ001,8.3
2024-12-16,EQ001,9.9
2024-12-17,EQ001,13.3
2024-12-18,EQ001,8.7
2024-12-19,EQ001,5.6
2024-12-20,EQ001,11.2
2024-12-21,EQ001,8.2
2024-12-22,EQ001,10.6
2024-12-23,EQ001,11.2
2024-12-24,EQ001,5.1
2024-12-25,EQ001,12.1
2024-12-26,EQ001,10.7
2024-12-27,EQ001,6.2
2024-12-28,EQ001,8.9
2024-12-29,EQ001,8.8
2024-12-30,EQ001,8.1
2024-12-31,EQ001,10.6
2025-01-01,EQ001,12.3
2025-01-02,EQ001,8.0
2025-01-03,EQ001,12.0
2025-01-04,EQ001,11.0
2025-01-05,EQ001,8.7
2025-01-06,EQ001,8.5
2025-01-07,EQ001,4.5
2025-01-08,EQ001,3.5
2025-01-09,EQ001,8.5
2025-01-10,EQ001,5.4
2025-01-11,EQ001,7.9
2025-01-12,EQ001,6.4
2025-01-13,EQ001,2.6
2025-01-14,EQ001,9.1
2025-01-15,EQ001,6.8
2025-01-16,EQ001,8.2
2025-01-17,EQ001,5.3
2025-01-18,EQ001,7.0
2025-01-19,EQ001,12.7
2025-01-20,EQ001,8.4
2025-01-21,EQ001,9.6
2025-01-22,EQ001,4.2
2025-01-23,EQ001,15.2
2025-01-24,EQ001,13.5
2025-01-25,EQ001,12.1
2025-01-26,EQ001,10.5
2025-01-27,EQ001,8.0
2025-01-28,EQ001,9.3
2025-01-29,EQ001,11.1
2025-01-30,EQ001,6.1
2025-01-31,EQ001,6.7
2025-02-01,EQ001,3.0
2025-02-02,EQ001,5.7
2025-02-03,EQ001,13.0
2025-02-04,EQ001,7.0
2025-02-05,EQ001,7.0
2025-02-06,EQ001,9.0
2025-02-07,EQ001,3.2
2025-02-08,EQ001,10.8
2025-02-09,EQ001,11.8
2025-02-10,EQ001,9.1
2025-02-11,EQ001,13.0
2025-02-12,EQ001,4.0
2025-02-13,EQ001,13.5
2025-02-14,EQ001,5.8
2025-02-15,EQ001,4.2
2025-02-16,EQ001,7.3
2025-02-17,EQ001,13.6
2025-02-18,EQ001,7.9
2025-02-19,EQ001,5.2
2025-02-20,EQ001,4.1
2025-02-21,EQ001,7.7
2025-02-22,EQ001,2.0
2025-02-23,EQ001,4.1
2025-02-24,EQ001,12.6
2025-02-25,EQ001,12.0
2025-02-26,EQ001,7.6
2025-02-27,EQ001,6.6
2025-02-28,EQ001,8.2
2025-03-01,EQ001,15.0
2025-03-02,EQ001,9.2
2025-03-03,EQ001,10.7
2025-03-04,EQ001,7.4
2025-03-05,EQ001,8.2
2025-03-06,EQ001,9.9
2025-03-07,EQ001,8.4
2025-03-08,EQ001,2.3
2025-03-09,EQ001,11.8
2025-03-10,EQ001,6.2
2025-03-11,EQ001,14.3
2025-03-12,EQ001,10.1
2025-03-13,EQ001,8.2
2025-03-14,EQ001,9.3
2025-03-15,EQ001,7.7
2025-03-16,EQ001,6.5
2025-03-17,EQ001,8.6
2025-03-18,EQ001,10.7
2025-03-19,EQ001,6.6
2025-03-20,EQ001,6.1
2025-03-21,EQ001,6.9
2025-03-22,EQ001,10.9
2025-03-23,EQ001,12.4
2025-03-24,EQ001,9.1
2025-03-25,EQ001,9.7
2025-03-26,EQ001,6.1
2025-03-27,EQ001,0.0
2025-03-28,EQ001,10.6
2025-03-29,EQ001,9.7
2025-03-30,EQ001,5.9
2025-03-31,EQ001,2.6
2025-04-01,EQ001,4.3
2025-04-02,EQ001,6.0
2025-04-03,EQ001,11.5
2025-04-04,EQ001,12.7
2025-04-05,EQ001,6.7
2025-04-06,EQ001,6.8
2025-04-07,EQ001,8.8
2025-04-08,EQ001,8.0
2025-04-09,EQ001,10.8
2025-04-10,EQ001,6.4
2025-04-11,EQ001,10.8
2025-04-12,EQ001,7.3
2025-04-13,EQ001,10.6
2025-04-14,EQ001,7.2
2025-04-15,EQ001,6.2
2025-04-16,EQ001,13.7
2025-04-17,EQ001,0.0
2025-04-18,EQ001,11.2
2025-04-19,EQ001,2.6
2025-04-20,EQ001,6.7
2025-04-21,EQ001,11.6
2025-04-22,EQ001,4.4
2025-04-23,EQ001,10.3
2025-04-24,EQ001,0.0
2025-04-25,EQ001,10.0
2025-04-26,EQ001,5.9
2025-04-27,EQ001,8.0
2025-04-28,EQ001,1.7
2025-04-29,EQ001,13.3
2025-04-30,EQ001,7.1
2025-05-01,EQ001,10.4
2025-05-02,EQ001,9.8
2025-05-03,EQ001,12.1
2025-05-04,EQ001,6.7
2025-05-05,EQ001,8.6
2025-05-06,EQ001,9.7
2025-05-07,EQ001,10.6
2025-05-08,EQ001,11.5
2025-05-09,EQ001,6.6
2025-05-10,EQ001,6.0
2025-05-11,EQ001,12.1
2025-05-12,EQ001,1.9
2025-05-13,EQ001,12.7
2025-05-14,EQ001,7.1
2025-05-15,EQ001,8.0
2025-05-16,EQ001,6.0
2025-05-17,EQ001,7.9
2025-05-18,EQ001,11.8
2025-05-19,EQ001,10.3
2025-05-20,EQ001,9.5
2025-05-21,EQ001,0.0
2025-05-22,EQ001,8.3
2025-05-23,EQ001,3.7
2025-05-24,EQ001,5.5
2025-05-25,EQ001,7.0
2025-05-26,EQ001,9.4
2025-05-27,EQ001,8.2
2025-05-28,EQ001,11.0
2025-05-29,EQ001,9.4
2025-05-30,EQ001,8.2
2025-05-31,EQ001,14.8
2025-06-01,EQ001,9.2
2025-06-02,EQ001,6.7
2025-06-03,EQ001,13.6
2025-06-04,EQ001,11.6
2025-06-05,EQ001,13.4
2025-06-06,EQ001,7.7
2025-06-07,EQ001,10.9
2025-06-08,EQ001,0.0
2025-06-09,EQ001,3.6
2025-06-10,EQ001,10.4
2025-06-11,EQ001,7.5
2025-06-12,EQ001,3.9
2025-06-13,EQ001,11.1
2025-06-14,EQ001,2.6
2025-06-15,EQ001,2.3
2025-06-16,EQ001,9.1
2025-06-17,EQ001,9.7
2025-06-18,EQ001,10.9
2025-06-19,EQ001,10.2
2025-06-20,EQ001,12.4
2025-06-21,EQ001,10.1
2025-06-22,EQ001,7.6
2025-06-23,EQ001,7.8
2025-06-24,EQ001,7.2
2025-06-25,EQ001,8.9
2025-06-26,EQ001,4.7
2025-06-27,EQ001,9.0
2025-06-28,EQ001,7.7
2025-06-29,EQ001,8.8
2025-06-30,EQ001,8.8
2024-07-01,EQ002,0.6
2024-07-02,EQ002,5.3
2024-07-03,EQ002,7.7
2024-07-04,EQ002,0.0
2024-07-05,EQ002,7.8
2024-07-06,EQ002,8.8
2024-07-07,EQ002,8.9
2024-07-08,EQ002,12.5
2024-07-09,EQ002,8.9
2024-07-10,EQ002,7.1
2024-07-11,EQ002,3.2
2024-07-12,EQ002,3.9
2024-07-13,EQ002,9.6
2024-07-14,EQ002,11.2
2024-07-15,EQ002,12.6
2024-07-16,EQ002,5.5
2024-07-17,EQ002,7.1
2024-07-18,EQ002,8.7
2024-07-19,EQ002,14.1
2024-07-20,EQ002,8.3
2024-07-21,EQ002,12.7
2024-07-22,EQ002,8.5
2024-07-23,EQ002,11.5
2024-07-24,EQ002,11.1
2024-07-25,EQ002,8.5
2024-07-26,EQ002,4.9
2024-07-27,EQ002,7.2
2024-07-28,EQ002,12.5
2024-07-29,EQ002,10.6
2024-07-30,EQ002,0.0
2024-07-31,EQ002,6.7
2024-08-01,EQ002,7.0
2024-08-02,EQ002,2.8
2024-08-03,EQ002,12.3
2024-08-04,EQ002,10.7
2024-08-05,EQ002,7.6
2024-08-06,EQ002,8.6
2024-08-07,EQ002,1.5
2024-08-08,EQ002,6.5
2024-08-09,EQ002,12.0
2024-08-10,EQ002,10.9
2024-08-11,EQ002,9.0
2024-08-12,EQ002,8.0
2024-08-13,EQ002,10.4
2024-08-14,EQ002,7.2
2024-08-15,EQ002,3.0
2024-08-16,EQ002,8.0
2024-08-17,EQ002,9.2
2024-08-18,EQ002,11.4
2024-08-19,EQ002,3.7
2024-08-20,EQ002,0.0
2024-08-21,EQ002,7.6
2024-08-22,EQ002,7.8
2024-08-23,EQ002,4.7
2024-08-24,EQ002,9.5
2024-08-25,EQ002,10.2
2024-08-26,EQ002,7.1
2024-08-27,EQ002,14.2
2024-08-28,EQ002,7.0
2024-08-29,EQ002,6.7
2024-08-30,EQ002,6.6
2024-08-31,EQ002,5.6
2024-09-01,EQ002,0.0
2024-09-02,EQ002,6.3
2024-09-03,EQ002,3.7
2024-09-04,EQ002,7.4
2024-09-05,EQ002,8.2
2024-09-06,EQ002,1.2
2024-09-07,EQ002,7.7
2024-09-08,EQ002,8.1
2024-09-09,EQ002,9.5
2024-09-10,EQ002,11.6
2024-09-11,EQ002,10.6
2024-09-12,EQ002,6.1
2024-09-13,EQ002,5.8
2024-09-14,EQ002,9.7
2024-09-15,EQ002,6.4
2024-09-16,EQ002,4.3
2024-09-17,EQ002,15.1
2024-09-18,EQ002,7.1
2024-09-19,EQ002,6.1
2024-09-20,EQ002,1.4
2024-09-21,EQ002,10.6
2024-09-22,EQ002,5.0
2024-09-23,EQ002,8.1
2024-09-24,EQ002,10.9
2024-09-25,EQ002,5.1
2024-09-26,EQ002,8.2
2024-09-27,EQ002,12.6
2024-09-28,EQ002,0.6
2024-09-29,EQ002,5.6
2024-09-30,EQ002,5.3
2024-10-01,EQ002,7.4
2024-10-02,EQ002,7.9
2024-10-03,EQ002,4.8
2024-10-04,EQ002,6.0
2024-10-05,EQ002,5.7
2024-10-06,EQ002,6.9
2024-10-07,EQ002,8.7
2024-10-08,EQ002,10.7
2024-10-09,EQ002,11.2
2024-10-10,EQ002,10.0
2024-10-11,EQ002,5.4
2024-10-12,EQ002,8.0
2024-10-13,EQ002,15.1
2024-10-14,EQ002,11.0
2024-10-15,EQ002,6.7
2024-10-16,EQ002,12.7
2024-10-17,EQ002,6.8
2024-10-18,EQ002,6.0
2024-10-19,EQ002,12.2
2024-10-20,EQ002,4.1
2024-10-21,EQ002,2.3
2024-10-22,EQ002,10.8
2024-10-23,EQ002,8.1
2024-10-24,EQ002,8.4
2024-10-25,EQ002,0.0
2024-10-26,EQ002,6.9
2024-10-27,EQ002,7.3
2024-10-28,EQ002,6.6
2024-10-29,EQ002,6.1
2024-10-30,EQ002,6.9
2024-10-31,EQ002,6.8
2024-11-01,EQ002,5.5
2024-11-02,EQ002,6.4
2024-11-03,EQ002,0.5
2024-11-04,EQ002,10.1
2024-11-05,EQ002,9.2
2024-11-06,EQ002,0.0
2024-11-07,EQ002,7.7
2024-11-08,EQ002,8.7
2024-11-09,EQ002,8.8
2024-11-10,EQ002,5.8
2024-11-11,EQ002,6.4
2024-11-12,EQ002,9.6
2024-11-13,EQ002,8.6
2024-11-14,EQ002,0.0
2024-11-15,EQ002,14.1
2024-11-16,EQ002,12.9
2024-11-17,EQ002,0.0
2024-11-18,EQ002,10.8
2024-11-19,EQ002,5.7
2024-11-20,EQ002,6.3
2024-11-21,EQ002,5.0
2024-11-22,EQ002,8.8
2024-11-23,EQ002,0.0
2024-11-24,EQ002,6.6
2024-11-25,EQ002,7.1
2024-11-26,EQ002,3.4
2024-11-27,EQ002,10.4
2024-11-28,EQ002,4.6
2024-11-29,EQ002,8.8
2024-11-30,EQ002,16.4
2024-12-01,EQ002,0.0
2024-12-02,EQ002,3.2
2024-12-03,EQ002,7.6
2024-12-04,EQ002,6.8
2024-12-05,EQ002,6.2
2024-12-06,EQ002,10.3
2024-12-07,EQ002,11.3
2024-12-08,EQ002,10.3
2024-12-09,EQ002,5.8
2024-12-10,EQ002,15.3
2024-12-11,EQ002,0.0
2024-12-12,EQ002,2.7
2024-12-13,EQ002,4.9
2024-12-14,EQ002,8.5
2024-12-15,EQ002,8.3
2024-12-16,EQ002,9.5
2024-12-17,EQ002,12.7
2024-12-18,EQ002,7.6
2024-12-19,EQ002,8.3
2024-12-20,EQ002,6.2
2024-12-21,EQ002,9.8
2024-12-22,EQ002,7.0
2024-12-23,EQ002,7.0
2024-12-24,EQ002,9.6
2024-12-25,EQ002,11.1
2024-12-26,EQ002,0.0
2024-12-27,EQ002,1.4
2024-12-28,EQ002,9.1
2024-12-29,EQ002,7.2
2024-12-30,EQ002,10.8
2024-12-31,EQ002,7.2
2025-01-01,EQ002,11.9
2025-01-02,EQ002,6.0
2025-01-03,EQ002,1.3
2025-01-04,EQ002,11.2
2025-01-05,EQ002,5.5
2025-01-06,EQ002,3.3
2025-01-07,EQ002,8.0
2025-01-08,EQ002,7.3
2025-01-09,EQ002,10.5
2025-01-10,EQ002,10.7
2025-01-11,EQ002,8.3
2025-01-12,EQ002,5.3
2025-01-13,EQ002,8.9
2025-01-14,EQ002,8.5
2025-01-15,EQ002,9.7
2025-01-16,EQ002,5.4
2025-01-17,EQ002,6.8
2025-01-18,EQ002,9.5
2025-01-19,EQ002,11.7
2025-01-20,EQ002,10.9
2025-01-21,EQ002,8.2
2025-01-22,EQ002,6.5
2025-01-23,EQ002,9.2
2025-01-24,EQ002,4.7
2025-01-25,EQ002,5.5
2025-01-26,EQ002,12.5
2025-01-27,EQ002,9.2
2025-01-28,EQ002,7.0
2025-01-29,EQ002,10.5
2025-01-30,EQ002,11.9
2025-01-31,EQ002,6.7
2025-02-01,EQ002,6.7
2025-02-02,EQ002,6.3
2025-02-03,EQ002,10.9
2025-02-04,EQ002,10.9
2025-02-05,EQ002,12.2
2025-02-06,EQ002,11.0
2025-02-07,EQ002,3.1
2025-02-08,EQ002,8.8
2025-02-09,EQ002,4.8
2025-02-10,EQ002,0.0
2025-02-11,EQ002,6.5
2025-02-12,EQ002,8.5
2025-02-13,EQ002,10.5
2025-02-14,EQ002,5.3
2025-02-15,EQ002,1.0
2025-02-16,EQ002,8.5
2025-02-17,EQ002,15.9
2025-02-18,EQ002,7.4
2025-02-19,EQ002,0.0
2025-02-20,EQ002,8.1
2025-02-21,EQ002,13.3
2025-02-22,EQ002,9.8
2025-02-23,EQ002,8.7
2025-02-24,EQ002,9.3
2025-02-25,EQ002,8.8
2025-02-26,EQ002,4.6
2025-02-27,EQ002,4.0
2025-02-28,EQ002,13.7
2025-03-01,EQ002,8.6
2025-03-02,EQ002,8.3
2025-03-03,EQ002,7.7
2025-03-04,EQ002,10.3
2025-03-05,EQ002,15.6
2025-03-06,EQ002,9.6
2025-03-07,EQ002,6.2
2025-03-08,EQ002,7.6
2025-03-09,EQ002,11.2
2025-03-10,EQ002,6.3
2025-03-11,EQ002,10.6
2025-03-12,EQ002,1.0
2025-03-13,EQ002,7.3
2025-03-14,EQ002,9.9
2025-03-15,EQ002,11.8
2025-03-16,EQ002,5.5
2025-03-17,EQ002,3.5
2025-03-18,EQ002,7.2
2025-03-19,EQ002,4.6
2025-03-20,EQ002,7.6
2025-03-21,EQ002,8.0
2025-03-22,EQ002,4.0
2025-03-23,EQ002,10.4
2025-03-24,EQ002,7.5
2025-03-25,EQ002,11.2
2025-03-26,EQ002,2.5
2025-03-27,EQ002,4.9
2025-03-28,EQ002,9.6
2025-03-29,EQ002,5.6
2025-03-30,EQ002,0.0
2025-03-31,EQ002,7.5
2025-04-01,EQ002,8.0
2025-04-02,EQ002,8.5
2025-04-03,EQ002,6.0
2025-04-04,EQ002,8.4
2025-04-05,EQ002,5.7
2025-04-06,EQ002,10.0
2025-04-07,EQ002,7.7
2025-04-08,EQ002,8.5
2025-04-09,EQ002,15.7
2025-04-10,EQ002,4.7
2025-04-11,EQ002,12.2
2025-04-12,EQ002,0.0
2025-04-13,EQ002,1.8
2025-04-14,EQ002,4.3
2025-04-15,EQ002,4.5
2025-04-16,EQ002,8.6
2025-04-17,EQ002,8.9
2025-04-18,EQ002,7.2
2025-04-19,EQ002,7.6
2025-04-20,EQ002,9.6
2025-04-21,EQ002,10.5
2025-04-22,EQ002,4.0
2025-04-23,EQ002,6.9
2025-04-24,EQ002,7.8
2025-04-25,EQ002,9.5
2025-04-26,EQ002,5.7
2025-04-27,EQ002,7.7
2025-04-28,EQ002,8.1
2025-04-29,EQ002,5.9
2025-04-30,EQ002,5.8
2025-05-01,EQ002,8.3
2025-05-02,EQ002,7.6
2025-05-03,EQ002,9.5
2025-05-04,EQ002,4.8
2025-05-05,EQ002,6.9
2025-05-06,EQ002,7.3
2025-05-07,EQ002,10.4
2025-05-08,EQ002,5.2
2025-05-09,EQ002,8.7
2025-05-10,EQ002,8.8
2025-05-11,EQ002,12.9
2025-05-12,EQ002,5.0
2025-05-13,EQ002,6.0
2025-05-14,EQ002,5.2
2025-05-15,EQ002,3.0
2025-05-16,EQ002,0.0
2025-05-17,EQ002,13.3
2025-05-18,EQ002,4.3
2025-05-19,EQ002,5.6
2025-05-20,EQ002,11.9
2025-05-21,EQ002,2.7
2025-05-22,EQ002,10.3
2025-05-23,EQ002,3.8
2025-05-24,EQ002,11.7
2025-05-25,EQ002,1.5
2025-05-26,EQ002,2.7
2025-05-27,EQ002,6.4
2025-05-28,EQ002,10.9
2025-05-29,EQ002,7.9
2025-05-30,EQ002,7.0
2025-05-31,EQ002,12.0
2025-06-01,EQ002,14.5
2025-06-02,EQ002,10.0
2025-06-03,EQ002,6.1
2025-06-04,EQ002,6.7
2025-06-05,EQ002,4.1
2025-06-06,EQ002,8.3
2025-06-07,EQ002,3.1
2025-06-08,EQ002,9.7
2025-06-09,EQ002,14.0
2025-06-10,EQ002,10.2
2025-06-11,EQ002,6.6
2025-06-12,EQ002,9.6
2025-06-13,EQ002,12.9
2025-06-14,EQ002,12.7
2025-06-15,EQ002,5.0
2025-06-16,EQ002,9.5
2025-06-17,EQ002,0.0
2025-06-18,EQ002,7.5
2025-06-19,EQ002,10.4
2025-06-20,EQ002,9.2
2025-06-21,EQ002,0.9
2025-06-22,EQ002,7.0
2025-06-23,EQ002,8.6
2025-06-24,EQ002,3.7
2025-06-25,EQ002,9.7
2025-06-26,EQ002,3.4
2025-06-27,EQ002,5.6
2025-06-28,EQ002,12.0
2025-06-29,EQ002,0.0
2025-06-30,EQ002,5.3
2024-07-01,EQ003,9.7
2024-07-02,EQ003,2.7
2024-07-03,EQ003,14.2
2024-07-04,EQ003,7.1
2024-07-05,EQ003,8.3
2024-07-06,EQ003,8.5
2024-07-07,EQ003,9.8
2024-07-08,EQ003,3.4
2024-07-09,EQ003,8.0
2024-07-10,EQ003,6.0
2024-07-11,EQ003,2.9
2024-07-12,EQ003,11.0
2024-07-13,EQ003,6.9
2024-07-14,EQ003,8.7
2024-07-15,EQ003,8.5
2024-07-16,EQ003,7.0
2024-07-17,EQ003,13.9
2024-07-18,EQ003,7.9
2024-07-19,EQ003,3.3
2024-07-20,EQ003,6.8
2024-07-21,EQ003,9.5
2024-07-22,EQ003,9.6
2024-07-23,EQ003,4.7
2024-07-24,EQ003,10.8
2024-07-25,EQ003,2.7
2024-07-26,EQ003,11.4
2024-07-27,EQ003,4.0
2024-07-28,EQ003,7.3
2024-07-29,EQ003,11.2
2024-07-30,EQ003,8.4
2024-07-31,EQ003,10.5
2024-08-01,EQ003,9.9
2024-08-02,EQ003,11.9
2024-08-03,EQ003,11.2
2024-08-04,EQ003,6.6
2024-08-05,EQ003,9.9
2024-08-06,EQ003,3.4
2024-08-07,EQ003,7.8
2024-08-08,EQ003,10.5
2024-08-09,EQ003,8.4
2024-08-10,EQ003,9.3
2024-08-11,EQ003,7.4
2024-08-12,EQ003,11.4
2024-08-13,EQ003,7.8
2024-08-14,EQ003,6.6
2024-08-15,EQ003,10.7
2024-08-16,EQ003,3.8
2024-08-17,EQ003,9.5
2024-08-18,EQ003,4.9
2024-08-19,EQ003,11.8
2024-08-20,EQ003,7.2
2024-08-21,EQ003,8.4
2024-08-22,EQ003,9.2
2024-08-23,EQ003,2.2
2024-08-24,EQ003,6.0
2024-08-25,EQ003,11.1
2024-08-26,EQ003,10.6
2024-08-27,EQ003,8.8
2024-08-28,EQ003,4.0
2024-08-29,EQ003,9.8
2024-08-30,EQ003,10.1
2024-08-31,EQ003,8.1
2024-09-01,EQ003,11.7
2024-09-02,EQ003,5.9
2024-09-03,EQ003,6.5
2024-09-04,EQ003,0.5
2024-09-05,EQ003,10.8
2024-09-06,EQ003,8.9
2024-09-07,EQ003,3.0
2024-09-08,EQ003,2.7
2024-09-09,EQ003,5.4
2024-09-10,EQ003,10.4
2024-09-11,EQ003,7.1
2024-09-12,EQ003,5.6
2024-09-13,EQ003,5.0
2024-09-14,EQ003,4.8
2024-09-15,EQ003,2.2
2024-09-16,EQ003,4.4
2024-09-17,EQ003,4.8
2024-09-18,EQ003,10.0
2024-09-19,EQ003,7.5
2024-09-20,EQ003,5.5
2024-09-21,EQ003,14.9
2024-09-22,EQ003,6.0
2024-09-23,EQ003,11.5
2024-09-24,EQ003,12.9
2024-09-25,EQ003,3.3
2024-09-26,EQ003,0.0
2024-09-27,EQ003,8.2
2024-09-28,EQ003,6.4
2024-09-29,EQ003,6.2
2024-09-30,EQ003,9.7
2024-10-01,EQ003,6.1
2024-10-02,EQ003,6.5
2024-10-03,EQ003,7.5
2024-10-04,EQ003,6.9
2024-10-05,EQ003,0.0
2024-10-06,EQ003,4.5
2024-10-07,EQ003,10.4
2024-10-08,EQ003,11.1
2024-10-09,EQ003,9.0
2024-10-10,EQ003,6.9
2024-10-11,EQ003,5.9
2024-10-12,EQ003,5.9
2024-10-13,EQ003,15.1
2024-10-14,EQ003,10.8
2024-10-15,EQ003,5.5
2024-10-16,EQ003,8.5
2024-10-17,EQ003,6.9
2024-10-18,EQ003,9.8
2024-10-19,EQ003,9.6
2024-10-20,EQ003,11.3
2024-10-21,EQ003,5.4
2024-10-22,EQ003,8.3
2024-10-23,EQ003,2.8
2024-10-24,EQ003,4.2
2024-10-25,EQ003,10.7
2024-10-26,EQ003,5.1
2024-10-27,EQ003,5.5
2024-10-28,EQ003,8.0
2024-10-29,EQ003,10.1
2024-10-30,EQ003,0.0
2024-10-31,EQ003,4.8
2024-11-01,EQ003,0.0
2024-11-02,EQ003,5.4
2024-11-03,EQ003,11.6
2024-11-04,EQ003,9.0
2024-11-05,EQ003,12.0
2024-11-06,EQ003,4.6
2024-11-07,EQ003,3.1
2024-11-08,EQ003,9.4
2024-11-09,EQ003,8.7
2024-11-10,EQ003,8.9
2024-11-11,EQ003,10.8
2024-11-12,EQ003,0.0
2024-11-13,EQ003,9.3
2024-11-14,EQ003,9.2
2024-11-15,EQ003,10.1
2024-11-16,EQ003,9.5
2024-11-17,EQ003,10.6
2024-11-18,EQ003,11.0
2024-11-19,EQ003,12.6
